customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUS-00037,Male,0,Yes,No,59,Yes,No phone service,DSL,Yes,Yes,Month-to-month,Yes,Mailed check,67.82,1099.78,No
CUS-00038,Male,0,Yes,No,37,Yes,No,Fiber optic,No,No,One year,No,Bank transfer,38.13,2033.56,Yes
CUS-00039,Male,0,No,No,14,Yes,No phone service,No,No internet service,Yes,Month-to-month,No,Bank transfer,65.19,2945.51,Yes
CUS-00040,Male,0,No,Yes,17,Yes,No,DSL,Yes,Yes,Month-to-month,No,Electronic check,93.57,1695.64,No
CUS-00041,Male,0,Yes,No,51,Yes,Yes,Fiber optic,No,Yes,Two year,No,Electronic check,35.24,1306.45,No
CUS-00042,Female,0,Yes,No,28,Yes,No,Fiber optic,Yes,Yes,Month-to-month,Yes,Electronic check,54.22,517.45,Yes
CUS-00043,Female,0,Yes,Yes,59,Yes,No,Fiber optic,Yes,Yes,Month-to-month,Yes,Mailed check,28.24,7510.97,No
CUS-00044,Female,0,No,No,20,Yes,Yes,DSL,Yes,No internet service,Two year,Yes,Electronic check,39.73,2497.71,No
CUS-00045,Female,0,Yes,No,16,Yes,No,DSL,No internet service,No,Month-to-month,Yes,Electronic check,61.65,2509.53,No
CUS-00046,Female,0,No,No,17,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Credit card,116.42,1787.85,No
CUS-00047,Male,0,Yes,No,56,Yes,No phone service,DSL,No internet service,Yes,Month-to-month,Yes,Bank transfer,88.6,4097.86,No
CUS-00048,Female,0,Yes,No,36,Yes,No,DSL,Yes,Yes,Month-to-month,Yes,Electronic check,112.09,4431.22,Yes
CUS-00049,Female,0,No,No,59,Yes,No phone service,No,No,No,One year,No,Credit card,28.57,1805.47,No
CUS-00050,Male,0,Yes,Yes,37,Yes,No,Fiber optic,Yes,No,Two year,No,Bank transfer,113.14,5240.75,Yes
CUS-00051,Female,0,No,No,11,Yes,Yes,No,No,No internet service,Month-to-month,No,Credit card,69.62,6222.79,Yes
CUS-00052,Male,0,Yes,No,0,Yes,Yes,No,No,No,One year,No,Electronic check,46.52,3226.3,No
CUS-00053,Female,0,No,No,57,Yes,No phone service,No,No internet service,Yes,Month-to-month,Yes,Mailed check,103.32,5042.35,Yes
CUS-00054,Male,0,No,Yes,2,Yes,No,DSL,No,No,Month-to-month,Yes,Bank transfer,78.74,4328.75,No
CUS-00055,Female,0,No,Yes,62,No,No,DSL,No,Yes,One year,Yes,Credit card,27.17,1696.2,No
CUS-00056,Female,0,Yes,Yes,20,Yes,No,DSL,No internet service,No internet service,Month-to-month,Yes,Credit card,72.07,6282.95,No
CUS-00057,Male,0,No,No,22,No,No phone service,Fiber optic,No,No internet service,Month-to-month,Yes,Credit card,82.83,6896.07,No
CUS-00058,Male,0,No,No,8,Yes,No phone service,DSL,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.79,5585.94,Yes
CUS-00059,Male,0,Yes,Yes,54,Yes,No phone service,Fiber optic,Yes,No internet service,Month-to-month,No,Bank transfer,73.51,2797.68,No
CUS-00060,Male,0,No,Yes,18,Yes,No phone service,No,No,Yes,Month-to-month,Yes,Bank transfer,54.68,7971.73,No
CUS-00061,Male,0,No,No,61,Yes,No phone service,DSL,No internet service,No,Two year,No,Credit card,64.14,3925.89,No
CUS-00062,Male,0,Yes,No,38,Yes,No phone service,DSL,Yes,Yes,Month-to-month,Yes,Mailed check,29.0,2299.77,Yes
CUS-00063,Male,0,Yes,No,26,Yes,Yes,Fiber optic,Yes,No internet service,Month-to-month,No,Bank transfer,68.79,3521.47,No
CUS-00064,Male,1,No,Yes,45,Yes,Yes,DSL,No internet service,Yes,Month-to-month,No,Bank transfer,117.46,5957.39,No
CUS-00065,Female,0,Yes,No,33,Yes,No,Fiber optic,No,No internet service,One year,Yes,Electronic check,92.55,7277.79,Yes
CUS-00066,Female,0,Yes,No,32,No,No,Fiber optic,No,No,One year,Yes,Credit card,111.71,3078.13,Yes
CUS-00067,Male,0,No,Yes,49,Yes,No phone service,DSL,No,No,One year,Yes,Electronic check,46.03,2014.38,Yes
CUS-00068,Female,0,Yes,Yes,19,Yes,Yes,DSL,No,No internet service,Two year,No,Mailed check,56.63,5394.56,No
CUS-00069,Female,0,Yes,Yes,39,Yes,No phone service,DSL,No internet service,No,Two year,Yes,Credit card,83.55,7923.87,No
CUS-00070,Female,0,No,Yes,57,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Mailed check,92.7,1591.02,No
CUS-00071,Female,1,Yes,No,30,No,Yes,Fiber optic,No,No,Month-to-month,Yes,Mailed check,48.71,6909.51,No
CUS-00072,Male,1,No,No,37,Yes,Yes,Fiber optic,No internet service,No,Two year,No,Electronic check,53.11,4108.24,No
CUS-00073,Female,0,No,No,44,Yes,Yes,DSL,No internet service,Yes,Two year,Yes,Credit card,31.3,6879.42,No
CUS-00074,Male,1,Yes,No,40,Yes,No phone service,Fiber optic,No,No,Two year,Yes,Bank transfer,86.55,4356.55,No
CUS-00075,Female,0,No,No,8,Yes,No phone service,No,No,Yes,Month-to-month,Yes,Credit card,53.2,3256.23,Yes
CUS-00076,Female,0,Yes,No,8,Yes,No phone service,DSL,Yes,No internet service,Month-to-month,Yes,Electronic check,32.01,5997.43,No
CUS-00077,Female,0,No,Yes,62,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer,82.03,7747.18,No
CUS-00078,Male,0,No,No,21,Yes,No,No,No internet service,No,One year,Yes,Mailed check,19.26,2766.4,Yes
CUS-00079,Female,0,Yes,No,15,Yes,No phone service,DSL,Yes,Yes,Month-to-month,No,Bank transfer,113.96,3972.14,Yes
CUS-00080,Male,0,Yes,Yes,31,Yes,No phone service,Fiber optic,No,No internet service,Month-to-month,Yes,Credit card,82.74,1986.72,Yes
CUS-00081,Female,0,No,No,65,Yes,No,DSL,No,Yes,Two year,Yes,Electronic check,79.39,1592.02,No
CUS-00082,Male,0,No,No,13,Yes,No phone service,DSL,No,Yes,Month-to-month,Yes,Credit card,83.36,6693.85,No
CUS-00083,Female,0,No,No,37,Yes,No phone service,Fiber optic,No,No,Two year,No,Credit card,49.97,1740.1,No
CUS-00084,Male,0,Yes,No,7,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,Mailed check,41.55,6826.26,Yes
CUS-00085,Male,0,Yes,No,20,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,72.22,3701.54,Yes
CUS-00086,Female,0,Yes,Yes,55,Yes,No,No,No,No,Month-to-month,No,Credit card,113.35,8557.51,No
CUS-00087,Male,0,No,No,45,Yes,No,No,Yes,No,Two year,No,Bank transfer,46.39,1711.58,No
CUS-00088,Female,0,Yes,No,42,Yes,No phone service,DSL,Yes,Yes,Month-to-month,No,Bank transfer,90.36,815.94,No
CUS-00089,Female,0,Yes,Yes,45,Yes,No,Fiber optic,No internet service,Yes,Month-to-month,Yes,Mailed check,116.3,665.37,No
CUS-00090,Female,0,Yes,No,47,No,Yes,Fiber optic,Yes,Yes,Two year,No,Electronic check,73.49,7187.56,No
CUS-00091,Female,1,No,No,69,Yes,No,Fiber optic,No internet service,No,Month-to-month,Yes,Electronic check,64.32,3775.0,Yes
CUS-00092,Female,0,Yes,Yes,30,Yes,No,No,No,Yes,One year,Yes,Credit card,93.56,44.81,Yes
CUS-00093,Female,0,No,No,32,Yes,Yes,Fiber optic,No internet service,No,One year,No,Credit card,32.28,7525.29,No
CUS-00094,Female,0,Yes,No,43,Yes,No phone service,Fiber optic,No,No internet service,Month-to-month,No,Mailed check,21.34,7543.74,No
CUS-00095,Female,0,Yes,No,70,Yes,Yes,Fiber optic,No,No,One year,No,Bank transfer,53.54,6938.67,Yes
CUS-00096,Female,0,Yes,No,7,Yes,Yes,DSL,No,No,Month-to-month,No,Bank transfer,102.56,2149.07,Yes
CUS-00097,Female,0,Yes,No,1,Yes,No,DSL,Yes,No,One year,Yes,Mailed check,25.83,3216.96,No
CUS-00098,Female,0,No,Yes,16,Yes,No,Fiber optic,Yes,No internet service,Month-to-month,No,Credit card,77.7,6410.96,No
CUS-00099,Male,0,No,Yes,51,Yes,No,No,Yes,No,One year,No,Bank transfer,23.2,4217.63,No
CUS-00100,Male,0,No,No,44,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Mailed check,68.6,1338.14,No
CUS-00101,Female,0,Yes,No,36,Yes,Yes,DSL,Yes,Yes,One year,Yes,Credit card,31.14,2101.69,Yes
CUS-00102,Female,0,No,Yes,41,Yes,No phone service,No,No,No,Month-to-month,Yes,Electronic check,79.37,8364.76,No
CUS-00103,Female,0,No,No,43,Yes,No phone service,Fiber optic,Yes,Yes,Month-to-month,No,Credit card,49.33,1313.99,Yes
CUS-00104,Female,1,No,No,37,No,No,DSL,No,Yes,Month-to-month,Yes,Bank transfer,55.44,6249.23,No
CUS-00105,Female,0,No,No,5,Yes,No,DSL,No,No internet service,Month-to-month,No,Mailed check,24.36,4120.35,No
CUS-00106,Female,0,Yes,No,67,Yes,No,DSL,No internet service,Yes,Two year,Yes,Mailed check,96.38,6442.5,No
CUS-00107,Female,0,Yes,No,50,Yes,No phone service,Fiber optic,No,No internet service,Month-to-month,No,Bank transfer,78.87,5691.67,No
CUS-00108,Female,0,No,Yes,34,Yes,Yes,Fiber optic,No internet service,Yes,Two year,No,Mailed check,76.74,3786.93,Yes
CUS-00109,Male,0,No,No,57,Yes,Yes,Fiber optic,No internet service,No,Two year,No,Mailed check,84.47,,No
CUS-00110,Female,0,Yes,Yes,56,No,No phone service,Fiber optic,No,No,One year,No,Mailed check,85.04,6491.91,No
CUS-00111,Male,0,No,No,5,Yes,Yes,Fiber optic,Yes,No internet service,Month-to-month,Yes,Electronic check,53.58,2791.2,Yes
CUS-00112,Female,0,No,No,12,Yes,No phone service,No,Yes,No internet service,Month-to-month,Yes,Mailed check,45.72,6778.65,Yes
CUS-00113,Female,0,No,No,58,Yes,Yes,No,No internet service,No internet service,Two year,Yes,Credit card,48.05,,No
CUS-00114,Male,0,Yes,No,29,Yes,Yes,No,No,No internet service,Month-to-month,No,Mailed check,99.95,4975.56,No
CUS-00115,Female,0,Yes,Yes,1,Yes,No,DSL,No,No,Month-to-month,No,Credit card,35.12,3183.05,No
CUS-00116,Male,1,Yes,No,57,Yes,No phone service,No,No,Yes,One year,Yes,Credit card,67.16,1778.01,Yes
CUS-00117,Female,0,No,No,35,Yes,No phone service,DSL,No internet service,No,Two year,Yes,Electronic check,81.19,6114.82,No
CUS-00118,Female,0,No,Yes,71,No,No,DSL,No,No internet service,Two year,Yes,Bank transfer,70.14,801.96,Yes
CUS-00119,Male,1,No,No,44,Yes,No,DSL,Yes,Yes,Month-to-month,No,Mailed check,73.89,8347.19,No
CUS-00120,Female,0,No,No,8,Yes,No phone service,DSL,No internet service,No,One year,Yes,Mailed check,102.74,8417.61,Yes
CUS-00121,Male,0,Yes,No,64,No,No phone service,Fiber optic,No internet service,Yes,Month-to-month,Yes,Credit card,51.27,1135.57,Yes
CUS-00122,Female,0,Yes,No,49,Yes,No,Fiber optic,No internet service,No,Month-to-month,No,Electronic check,52.93,909.97,No
CUS-00123,Male,1,Yes,No,31,Yes,No phone service,DSL,Yes,Yes,Two year,Yes,Mailed check,34.75,3559.93,No
CUS-00124,Male,0,Yes,No,42,Yes,No,No,Yes,No internet service,Month-to-month,No,Electronic check,93.78,8288.33,Yes
CUS-00125,Female,0,Yes,No,53,Yes,No phone service,Fiber optic,No internet service,Yes,Month-to-month,Yes,Credit card,38.94,3453.47,No
CUS-00126,Female,1,No,No,46,Yes,No,DSL,Yes,No internet service,Month-to-month,Yes,Electronic check,70.5,3140.15,No
CUS-00127,Male,0,Yes,Yes,13,Yes,No phone service,DSL,Yes,No,Two year,Yes,Electronic check,104.27,6056.17,No
CUS-00128,Female,0,No,Yes,47,Yes,No phone service,Fiber optic,Yes,No,Two year,Yes,Bank transfer,27.91,1551.87,No
CUS-00129,Female,1,No,No,54,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer,35.02,3136.04,No
CUS-00130,Female,0,No,No,28,Yes,No phone service,Fiber optic,No,Yes,One year,Yes,Credit card,36.53,2518.0,No
CUS-00131,Male,0,Yes,No,46,Yes,No,DSL,No internet service,No internet service,Month-to-month,Yes,Credit card,31.57,5180.37,No
CUS-00132,Male,1,Yes,Yes,62,Yes,Yes,DSL,No internet service,Yes,Month-to-month,Yes,Credit card,113.43,1414.75,Yes
CUS-00133,Male,0,Yes,No,18,Yes,No,DSL,No,Yes,Month-to-month,No,Credit card,92.74,4726.95,No
CUS-00134,Male,0,Yes,No,8,Yes,No,No,No internet service,Yes,Month-to-month,No,Electronic check,63.95,7377.46,Yes
CUS-00135,Male,0,No,Yes,36,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card,48.06,4430.61,No
CUS-00136,Male,0,Yes,No,51,Yes,No,DSL,No,Yes,Two year,No,Electronic check,29.63,5883.77,No
CUS-00137,Male,0,No,Yes,56,No,No phone service,DSL,No internet service,Yes,Month-to-month,No,Bank transfer,20.39,663.78,No
CUS-00138,Male,0,No,Yes,27,Yes,No,DSL,No,Yes,Month-to-month,Yes,Credit card,83.64,3871.37,No
CUS-00139,Male,0,No,No,35,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer,69.01,832.37,No
CUS-00140,Female,0,Yes,No,63,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Mailed check,77.84,5162.58,No
CUS-00141,Male,0,No,No,17,Yes,No,Fiber optic,Yes,Yes,Two year,No,Mailed check,34.91,2430.01,No
CUS-00142,Female,0,Yes,No,34,Yes,No phone service,No,No,No,Month-to-month,No,Electronic check,77.46,2483.32,Yes
CUS-00143,Female,1,Yes,Yes,67,No,Yes,DSL,No,No,Month-to-month,No,Bank transfer,38.65,676.81,Yes
CUS-00144,Female,0,No,No,38,Yes,No phone service,Fiber optic,Yes,Yes,Two year,No,Bank transfer,22.14,2680.46,No
CUS-00145,Male,0,No,No,7,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,106.09,4366.3,Yes
CUS-00146,Male,0,Yes,Yes,14,Yes,No,No,No,Yes,Month-to-month,No,Credit card,101.56,5035.55,No
CUS-00147,Male,0,Yes,No,6,Yes,Yes,Fiber optic,Yes,No internet service,Month-to-month,Yes,Electronic check,77.47,590.12,No
CUS-00148,Male,0,No,Yes,16,Yes,No,DSL,No,Yes,One year,Yes,Credit card,110.4,5608.82,No
CUS-00149,Female,0,Yes,Yes,63,Yes,No phone service,No,Yes,No internet service,Two year,No,Bank transfer,96.0,4213.53,No
CUS-00150,Male,0,Yes,No,11,Yes,Yes,Fiber optic,Yes,No,Two year,Yes,Bank transfer,45.73,4625.74,No
CUS-00151,Male,0,Yes,No,55,Yes,Yes,DSL,No,No internet service,Month-to-month,Yes,Bank transfer,110.38,7165.06,No
CUS-00152,Male,0,Yes,No,45,Yes,No,Fiber optic,No,No internet service,Two year,Yes,Electronic check,57.2,2954.99,No
CUS-00153,Male,0,No,No,46,Yes,No phone service,DSL,No,No,Month-to-month,No,Electronic check,117.32,1511.71,No
CUS-00154,Male,0,Yes,Yes,15,Yes,No,Fiber optic,No,No internet service,Month-to-month,No,Bank transfer,88.46,4753.63,No
CUS-00155,Female,0,No,No,68,Yes,No,DSL,No internet service,No internet service,Month-to-month,No,Electronic check,39.04,8128.18,No
CUS-00156,Male,0,Yes,No,1,Yes,No phone service,Fiber optic,No internet service,Yes,Month-to-month,Yes,Credit card,57.95,4462.36,No
CUS-00157,Female,0,Yes,No,53,Yes,No,Fiber optic,No,No,Month-to-month,No,Mailed check,85.2,7157.47,No
CUS-00158,Male,0,Yes,No,26,Yes,No,Fiber optic,No internet service,No internet service,One year,Yes,Mailed check,97.63,6514.85,Yes
CUS-00159,Female,0,Yes,Yes,30,Yes,No phone service,DSL,Yes,Yes,Two year,Yes,Mailed check,76.22,4466.31,Yes
CUS-00160,Male,0,Yes,No,40,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Electronic check,92.78,5575.32,No
CUS-00161,Male,0,No,No,35,Yes,No phone service,Fiber optic,No internet service,No,Month-to-month,Yes,Mailed check,66.64,3508.13,No
CUS-00162,Female,0,Yes,No,46,Yes,No phone service,Fiber optic,No,No,Month-to-month,No,Bank transfer,46.8,4571.86,No
CUS-00163,Female,0,Yes,No,42,Yes,No phone service,DSL,Yes,No,Month-to-month,No,Bank transfer,89.18,4371.53,No
CUS-00164,Female,0,Yes,No,64,Yes,No,No,Yes,No internet service,One year,Yes,Electronic check,101.29,6103.59,No
CUS-00165,Male,0,No,Yes,49,Yes,No phone service,Fiber optic,No,No,Month-to-month,No,Mailed check,50.1,3536.46,No
CUS-00166,Female,0,Yes,No,0,Yes,No,DSL,No internet service,No,Two year,Yes,Electronic check,61.18,874.2,No
CUS-00167,Male,0,No,No,71,No,No phone service,Fiber optic,No,No,Month-to-month,No,Credit card,52.12,6786.71,No
CUS-00168,Male,0,Yes,No,56,Yes,No phone service,DSL,No,No internet service,Month-to-month,Yes,Credit card,32.7,5895.41,No
CUS-00169,Female,0,No,No,15,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card,95.43,8171.96,Yes
CUS-00170,Female,0,No,No,27,No,No,Fiber optic,No,No internet service,Month-to-month,Yes,Electronic check,69.52,3697.24,No
CUS-00171,Male,1,No,Yes,21,Yes,Yes,Fiber optic,No internet service,No internet service,Month-to-month,No,Credit card,34.36,689.16,No
CUS-00172,Male,0,No,No,40,Yes,Yes,Fiber optic,No,No internet service,One year,Yes,Credit card,52.97,1061.73,No
CUS-00173,Female,0,Yes,Yes,18,No,No,No,No,No,Month-to-month,Yes,Electronic check,92.82,6654.63,No
CUS-00174,Female,0,No,No,49,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer,56.23,599.49,No
CUS-00175,Female,0,Yes,No,58,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,25.25,7808.96,Yes
CUS-00176,Male,0,No,No,68,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,No,Bank transfer,28.65,2435.12,Yes
CUS-00177,Male,1,No,No,33,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,No,Credit card,118.81,7732.18,No
CUS-00178,Male,0,No,Yes,38,Yes,No,DSL,No internet service,No internet service,Two year,No,Electronic check,61.22,6656.24,No
CUS-00179,Male,1,No,No,6,No,No phone service,No,Yes,No internet service,Month-to-month,No,Mailed check,82.25,7494.65,Yes
CUS-00180,Male,0,No,No,51,Yes,No,Fiber optic,No,No internet service,One year,Yes,Bank transfer,80.55,1854.89,No
CUS-00181,Male,0,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,Electronic check,34.78,5130.24,No
CUS-00182,Female,0,No,No,51,No,Yes,Fiber optic,No internet service,Yes,Two year,No,Mailed check,58.3,821.18,Yes
CUS-00183,Male,0,Yes,No,23,Yes,No,Fiber optic,No internet service,No internet service,Month-to-month,Yes,Electronic check,90.16,1753.97,No
CUS-00184,Male,0,No,Yes,25,No,Yes,Fiber optic,Yes,No internet service,One year,Yes,Mailed check,60.9,2677.58,No
CUS-00185,Male,0,No,No,9,Yes,No,No,Yes,No internet service,One year,Yes,Bank transfer,77.52,6375.65,No
CUS-00186,Female,0,No,No,16,No,Yes,Fiber optic,Yes,Yes,Two year,Yes,Bank transfer,55.46,230.1,Yes
CUS-00187,Male,0,No,Yes,1,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,44.77,7768.55,No
CUS-00188,Male,0,Yes,Yes,26,Yes,No phone service,DSL,No,No internet service,Month-to-month,Yes,Credit card,19.89,625.64,No
CUS-00189,Female,0,No,No,70,Yes,No,DSL,No,Yes,Month-to-month,Yes,Electronic check,60.85,3249.04,Yes
CUS-00190,Male,0,Yes,No,47,Yes,No phone service,DSL,No internet service,Yes,Two year,No,Electronic check,58.05,713.91,No
CUS-00191,Male,1,Yes,No,8,Yes,No phone service,DSL,Yes,No,Month-to-month,Yes,Mailed check,64.51,6617.28,No
CUS-00192,Male,0,Yes,Yes,22,Yes,Yes,DSL,Yes,No internet service,Two year,No,Credit card,18.66,1230.77,No
CUS-00193,Male,0,Yes,No,70,Yes,No,DSL,No,No,Month-to-month,No,Bank transfer,70.25,7610.98,No
CUS-00194,Male,0,Yes,No,26,Yes,Yes,Fiber optic,Yes,No internet service,Month-to-month,No,Electronic check,29.93,4568.37,No
CUS-00195,Female,0,Yes,No,70,Yes,No,DSL,No,Yes,Month-to-month,No,Mailed check,68.12,8157.79,Yes
CUS-00196,Female,0,No,Yes,42,No,No phone service,Fiber optic,No internet service,Yes,Two year,Yes,Mailed check,52.55,2509.88,No
CUS-00197,Female,0,Yes,No,6,Yes,Yes,No,No internet service,Yes,One year,Yes,Bank transfer,22.42,3916.94,No
CUS-00198,Male,1,Yes,No,62,Yes,Yes,Fiber optic,Yes,No internet service,Two year,No,Credit card,34.72,,No
CUS-00199,Male,0,Yes,No,43,Yes,No phone service,No,Yes,Yes,Month-to-month,Yes,Bank transfer,44.06,7157.48,No
CUS-00200,Male,0,Yes,No,38,Yes,No phone service,Fiber optic,Yes,Yes,One year,Yes,Credit card,41.57,3634.09,No
CUS-00201,Female,0,Yes,No,39,No,No,No,No,Yes,One year,Yes,Electronic check,78.96,7676.86,No
CUS-00202,Male,0,Yes,Yes,6,Yes,Yes,Fiber optic,No,No,Month-to-month,No,Bank transfer,22.46,1030.57,No
CUS-00203,Male,0,No,No,69,Yes,No phone service,No,No internet service,Yes,Two year,Yes,Electronic check,62.82,,No
CUS-00204,Female,0,No,No,24,Yes,No,DSL,No,No,Two year,Yes,Bank transfer,100.46,3006.24,No
CUS-00205,Male,0,Yes,No,58,Yes,No,Fiber optic,Yes,Yes,Two year,Yes,Credit card,46.83,887.66,No
CUS-00206,Female,0,Yes,Yes,12,Yes,No phone service,No,No internet service,Yes,One year,No,Credit card,79.09,3336.36,No
CUS-00207,Female,0,No,Yes,61,Yes,Yes,DSL,Yes,Yes,Month-to-month,No,Mailed check,111.16,7572.01,No
CUS-00208,Female,1,Yes,No,7,Yes,No phone service,Fiber optic,No,No internet service,Month-to-month,Yes,Bank transfer,97.64,8432.94,Yes
CUS-00209,Male,0,No,No,44,Yes,No phone service,Fiber optic,No,Yes,Two year,No,Mailed check,101.97,3389.01,No
CUS-00210,Male,0,No,Yes,17,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,Mailed check,62.23,7625.23,No
CUS-00211,Male,0,No,Yes,59,Yes,No,DSL,Yes,No,One year,Yes,Mailed check,26.45,4391.85,No
