Id,Neighborhood,OverallQual,OverallCond,YearBuilt,ExterQual,TotalBsmtSF,GrLivArea,BedroomAbvGr,FullBath,GarageCars,GarageArea,LotArea,SaleType,SalePrice
35,Downtown,8,2,1992,TA,919.852151024329,2063.5579832292797,2,2,1,293.0,6401.763787517283,New,381139
36,Downtown,7,6,1945,Gd,1511.0149221346765,1860.5873163161807,3,1,2,467.0,8138.625366870981,WD,301924
37,Suburbs,2,4,1992,Gd,1508.6949642809632,2480.9887933050218,5,2,2,701.0,11185.379238190411,WD,392372
38,Historic,2,5,1928,Gd,1317.3009336085097,1485.4603476746995,2,3,1,276.0,8923.138764496724,WD,167410
39,Downtown,9,1,2022,Fa,1307.450856318818,2482.331597433193,3,2,2,511.0,6958.243444604561,WD,421837
40,Waterfront,2,2,2003,Gd,684.3831218507619,1610.273934587398,2,3,2,484.0,9413.937548404905,WD,381514
41,Downtown,9,8,1924,Fa,1041.3215205843169,3910.881952988516,4,3,2,746.0,7209.602719611422,WD,560947
42,Downtown,6,7,1976,TA,333.29603152763025,939.9386439896532,4,2,3,737.0,7569.762181273408,WD,159526
43,Downtown,1,5,1997,TA,1307.4254375612118,2137.9899107233823,4,2,1,334.0,13242.486130315978,WD,343831
44,Suburbs,10,1,2008,TA,900.2159206559647,2027.1149923741377,2,2,0,0.0,9281.851283455284,WD,202709
45,Historic,6,2,1937,Gd,1816.6859528042642,2425.105803107603,4,3,2,469.0,7764.108623651087,WD,379262
46,Rural,1,5,2015,Gd,1104.4368984643427,1217.7489866461165,3,2,3,816.0,5013.512102600163,WD,142207
47,Historic,6,8,1964,Gd,697.8944610853648,1503.8883888335363,3,2,2,775.0,9623.371683593052,WD,242407
48,Historic,1,1,1942,Ex,890.5607347027905,1101.544640027395,4,2,0,0.0,11108.119041321424,COD,169566
49,Downtown,6,9,2021,Gd,747.5665350104218,2086.4893567308145,1,3,0,0.0,11462.450011878962,WD,308525
50,Suburbs,10,2,1934,TA,767.3892720402821,2762.908287820241,2,2,2,519.0,15695.353304109653,New,310944
51,Waterfront,3,7,2021,Gd,991.0707177833738,1750.1457672531988,5,2,1,314.0,5059.3706352114505,COD,362676
52,Historic,6,4,1995,Gd,605.290012989345,2367.7043418174494,4,1,1,274.0,1992.4798881391343,WD,352629
53,Rural,3,3,1936,TA,976.6923445304694,3836.658997339807,2,2,2,744.0,10996.10744839668,WD,329160
54,Historic,10,4,2017,TA,210.35733381478963,1814.3724001268422,4,3,1,301.0,4401.447284998443,WD,260631
55,Suburbs,6,5,1942,TA,,400.0,3,2,1,370.0,4528.052307215484,WD,50000
56,Rural,6,1,2019,TA,696.198829652569,1944.4479231017608,3,3,1,236.0,9671.252947008434,WD,173097
57,Suburbs,7,6,1978,Gd,460.6077350302967,2568.541516765295,2,3,2,661.0,8940.210167092502,WD,347036
58,Downtown,6,5,1980,TA,1289.6386575743377,1111.163143669351,4,2,2,542.0,6078.265817316031,WD,205458
59,Downtown,6,2,2001,Gd,292.41053790309377,1315.3056905289259,3,2,2,407.0,5533.870881286898,WD,273670
60,Historic,6,5,2015,TA,1249.9332919758187,1134.7977316457932,2,2,2,528.0,8095.992032706957,WD,241899
61,Downtown,9,1,1977,Gd,1187.575761533394,2188.579096267064,5,2,1,255.0,6560.695659855093,WD,323573
62,Historic,7,5,1945,TA,643.2295145668853,1330.2677395164499,2,3,1,251.0,8371.253737695444,COD,118320
63,Suburbs,8,7,1968,Gd,890.1912778355235,2914.8261383227955,4,3,1,318.0,5001.2886001567695,WD,368597
64,Suburbs,2,2,1967,Gd,1106.2717174525437,2417.2535488150124,2,1,1,269.0,5365.043954512728,COD,300382
65,Downtown,3,6,1999,Gd,1092.7862982719448,3153.7784963940276,5,1,2,409.0,3359.247871918835,WD,475627
66,Downtown,2,6,1931,TA,1365.529366085349,2107.8343795563396,3,1,3,679.0,9098.665270788315,WD,350788
67,Rural,5,1,1951,Gd,1292.7955942602098,2476.326579535693,4,2,2,583.0,6057.081289528403,New,241149
68,Suburbs,8,7,1978,Gd,1413.9990574443468,2360.8758328515623,2,1,0,0.0,10186.165192769822,New,323903
69,Downtown,5,2,1941,TA,1460.0791929799113,1289.2889528440205,5,2,2,,1396.401054751932,WD,209302
70,Suburbs,2,8,1971,Ex,1045.583122351972,2429.2702344140007,4,2,2,437.0,3841.6873098619453,WD,290012
71,Suburbs,2,4,1941,Ex,883.7153267675461,2363.491938547387,2,2,2,649.0,7476.597508983785,WD,249663
72,Waterfront,10,2,2007,Gd,,1144.9727116757413,3,2,0,0.0,5968.760844757107,WD,204256
73,Rural,2,3,2012,Fa,863.3913654012351,441.7724192601654,4,3,2,507.0,4757.7595378395,WD,95931
74,Downtown,4,6,1959,Ex,1579.1255375444161,1841.87367516609,4,2,2,381.0,7159.280910135938,WD,319688
75,Rural,10,2,1981,TA,696.7388047045832,1962.2079280546807,5,2,2,,7141.295288828569,WD,213999
76,Suburbs,5,3,1975,TA,1453.7232811867757,1073.7084020517436,5,2,2,386.0,10612.03928254275,WD,167224
77,Suburbs,6,5,2018,Ex,,2103.600613420142,1,2,1,,8797.96706562912,WD,277955
78,Suburbs,7,4,1939,TA,1441.9150165115352,2002.5483443295893,4,2,2,410.0,11378.699656881527,WD,250674
79,Downtown,8,6,1963,Ex,1290.8031116247425,2090.458896792552,2,2,1,364.0,12605.368777240052,New,351024
80,Suburbs,5,4,1932,TA,984.3195315587952,1305.6435332501555,1,2,2,447.0,6098.323017858717,WD,125337
81,Suburbs,3,1,1988,TA,1103.65860163842,2030.8336487458878,2,2,2,416.0,11307.001598656621,WD,286878
82,Rural,5,5,2021,TA,556.1494945233312,2215.890039866862,6,4,2,734.0,10621.853392090225,WD,245491
83,Suburbs,1,5,2001,Gd,1230.9962159396027,2694.6602642764065,1,1,2,634.0,7876.484654848381,WD,387401
84,Suburbs,7,6,1995,Gd,1378.9196232734212,652.6397010614387,4,2,1,389.0,9576.209727428924,WD,92122
85,Suburbs,8,5,1949,TA,1535.1408001836319,4050.167165838823,4,3,3,,8579.105844290229,WD,523660
86,Suburbs,6,1,1984,Gd,870.0548923082625,2797.9878454844707,4,2,1,329.0,7825.433412505655,WD,335785
87,Waterfront,6,6,2014,TA,1880.0522822954313,2007.2141241181507,4,2,2,519.0,8776.383068241315,WD,466557
88,Suburbs,9,9,1975,Gd,872.9447708644552,2110.4722910033456,5,1,2,688.0,8978.795417402973,WD,326749
89,Suburbs,7,9,1934,Gd,820.0178724620897,699.6536216368681,4,2,2,616.0,11062.692245462515,WD,108342
90,Downtown,8,1,2002,Gd,933.2115613290829,1622.8573378335152,3,1,2,430.0,4869.4359083648005,WD,301509
91,Suburbs,6,1,1924,Ex,936.8927510950928,2478.2748772867108,4,3,2,428.0,10286.494908603248,WD,291671
92,Downtown,5,3,1999,Gd,,1569.4899732802255,3,2,2,643.0,4545.845625292173,WD,337690
93,Suburbs,7,3,1925,TA,547.4576110001831,1396.1088908064069,4,2,2,480.0,7748.17026466267,WD,192620
94,Suburbs,4,9,1980,Fa,511.2958726745082,1790.0689507906536,3,2,3,899.0,8783.718788062066,WD,234657
95,Suburbs,10,4,1993,Ex,1094.0411580829623,2018.6665643775818,5,1,1,222.0,1000.0,New,256413
96,Downtown,5,2,1935,Gd,1598.566831137574,1384.2697931526795,4,3,2,544.0,7125.633849484483,WD,218901
97,Waterfront,6,4,1988,Fa,732.6687048815456,1912.4148906193057,3,3,2,739.0,9337.090824872814,WD,360638
98,Historic,9,9,1973,TA,948.6221548183297,2085.627279133834,4,2,0,0.0,7671.956947534074,WD,277878
99,Historic,2,6,1984,Ex,,1257.3437614882837,1,1,3,862.0,5246.949729483776,WD,218771
100,Waterfront,7,5,1988,Gd,1264.0883674973802,1090.7354145106692,4,2,2,576.0,10174.28185792566,WD,265244
101,Suburbs,5,6,1931,TA,1106.894408165608,1898.3454688484685,1,2,0,0.0,5625.525455757917,WD,226647
102,Waterfront,10,7,1957,TA,1369.167503270426,1821.6126485471725,3,2,1,323.0,8623.810688378744,COD,420192
103,Suburbs,2,2,2020,TA,597.706538953244,1347.1211661695288,3,3,2,443.0,7668.801432705417,WD,176937
104,Suburbs,2,3,1939,TA,985.08216839704,1966.4374445625856,4,2,2,508.0,7743.908081511562,WD,250750
105,Suburbs,2,3,1991,Fa,906.4635096986253,2179.7644431913054,5,2,3,989.0,8506.667778847095,WD,292913
106,Suburbs,8,6,1927,TA,931.8926214640029,1216.668808561059,3,1,2,678.0,6142.136715328283,COD,186009
107,Suburbs,3,2,1990,Gd,1397.9914530521178,1608.984087587617,4,2,2,750.0,10718.802755418194,WD,236181
108,Rural,6,7,2013,Gd,771.7059905167724,1909.8128794890154,4,2,2,494.0,5562.835270146517,WD,242725
109,Downtown,7,9,1963,Ex,820.2771342398371,2677.1215097457334,4,2,0,0.0,10513.408888363741,WD,419992
110,Downtown,6,3,1970,Gd,683.3929208856669,2014.5991603690618,5,1,1,361.0,6885.84603120342,WD,331213
111,Downtown,7,9,2002,TA,1863.0257988899443,2223.501035934241,4,3,1,182.0,2034.6112600583156,WD,397535
112,Suburbs,4,6,1944,Gd,618.8732269055349,1163.2752941473216,1,2,2,656.0,5655.547931452366,WD,188832
113,Rural,8,3,1998,TA,1237.751000403847,3035.0145397261053,2,2,3,1046.0,11926.02065538539,WD,301859
114,Downtown,5,4,1979,Gd,452.03500444598876,1102.08744351818,4,2,1,181.0,11473.220302688806,WD,182430
115,Suburbs,1,6,1974,Gd,1185.0809298122576,2287.5881833603453,3,1,1,289.0,2136.8591573680505,WD,290729
116,Suburbs,4,7,1984,TA,540.7120798033127,1866.6642594711884,2,2,2,779.0,5780.014748302934,WD,221405
117,Historic,1,8,2008,Fa,1060.7549778199457,1499.5285610249716,5,2,2,780.0,2173.728409141763,WD,270770
118,Historic,6,7,2018,TA,1124.5362561396328,1442.2965993638686,3,3,2,686.0,8300.011554112189,WD,242092
119,Suburbs,6,5,2011,Gd,,2187.4550365047444,3,2,1,363.0,5966.927492186149,WD,271934
120,Historic,3,6,2004,Gd,1282.4521443927383,1176.9510563027625,2,2,2,495.0,9063.661095476285,WD,232650
121,Historic,10,1,1983,Fa,1186.0541265065262,1562.888640296991,4,2,2,563.0,10022.743408245276,WD,252236
122,Suburbs,6,3,1942,TA,726.8085543622175,917.7303350957638,3,2,1,399.0,12536.656099328622,WD,158251
123,Suburbs,7,8,1948,Ex,1196.8492541137014,1561.9462893633658,3,2,2,715.0,13174.443640552161,WD,215834
124,Downtown,4,3,2016,Gd,1090.8538917722537,2213.8947550915427,4,2,2,380.0,13770.144751221862,WD,371698
125,Suburbs,7,3,2009,TA,1382.8555236099717,1878.3503132265619,4,2,1,192.0,10788.482327504982,WD,257959
126,Waterfront,10,7,1965,TA,419.29701275136915,973.9761154203482,4,1,2,615.0,7558.643558900959,WD,222542
127,Suburbs,10,8,1996,Gd,1044.9160634117345,1763.214546105343,3,1,2,524.0,2542.083535699314,New,273305
128,Suburbs,1,5,1923,TA,1038.2356157503013,3312.565191023555,3,2,2,464.0,5617.807024969184,WD,448734
129,Suburbs,9,7,2016,TA,851.2718455107412,845.1248229222927,3,1,1,250.0,3927.8769332575894,WD,100948
130,Rural,10,7,1993,Gd,1423.6867026307837,1944.4469484879614,3,2,0,0.0,9378.028157110126,New,187592
131,Suburbs,3,8,1958,Gd,715.8055212162388,2494.3112968797845,3,3,2,501.0,14251.733775795448,WD,335435
132,Suburbs,6,2,1939,Ex,1284.921672189409,904.6446600885563,4,3,1,260.0,5320.3469158687585,WD,114360
133,Suburbs,9,5,1957,TA,710.3368752557517,1436.078601274878,2,3,2,559.0,3550.1596007486332,WD,181482
134,Suburbs,2,3,2014,Ex,1530.4304076863316,2601.4205260221092,4,2,3,646.0,4912.89662901958,WD,398034
135,Suburbs,3,3,1996,Gd,1162.2187312773572,1162.1764925819962,4,2,2,531.0,13293.044102569473,WD,161116
136,Rural,7,5,1953,TA,377.0874507325925,2241.6375339191254,2,1,2,644.0,11785.303547628064,WD,180111
137,Rural,10,2,1994,Gd,1454.709023803569,2293.1849898735627,3,3,1,237.0,11208.178147755487,WD,239818
138,Suburbs,7,5,1946,TA,1224.8873922095463,1272.7832820121225,4,2,2,634.0,3962.5140473325523,WD,171553
139,Rural,7,4,1926,TA,1036.533621506716,1803.3375539572662,5,1,1,234.0,10773.93562213809,WD,202982
140,Waterfront,9,8,1934,Gd,744.085010839561,3382.469894223733,2,2,2,706.0,8167.560871591959,WD,661399
141,Rural,5,1,1981,Gd,658.4171329619519,1425.2029252855898,4,3,2,772.0,10570.523735550694,COD,171267
142,Suburbs,10,4,1974,TA,1202.161541104385,2743.886848088518,3,2,2,556.0,4808.39326806118,WD,378706
143,Rural,7,7,1994,Gd,383.47966531904603,2272.591382326958,3,2,0,0.0,7924.916530673436,WD,213140
144,Suburbs,7,2,1921,Gd,729.3524011919965,1866.5514345221704,2,2,1,326.0,6234.607295811674,WD,209257
145,Suburbs,10,2,1930,TA,1279.1262339433554,1991.2912913177724,3,1,1,337.0,10070.248591560307,WD,223693
146,Rural,9,5,1965,Gd,437.35509309867916,2496.1548125872987,4,3,1,292.0,14606.979159330629,WD,256150
147,Downtown,7,9,1974,Gd,455.5142326705462,1355.1560537152525,4,1,2,460.0,4093.5420653958213,WD,312750
148,Downtown,4,8,1944,Gd,1208.5262479186588,1779.8100263707493,3,4,1,387.0,7367.96078203641,WD,288232
149,Downtown,6,5,1975,TA,893.4527157871155,400.0,6,3,1,393.0,11113.936327076844,New,127554
150,Historic,6,7,1998,Gd,1665.9121078210712,3255.3194573302844,4,1,2,730.0,6769.9210720154315,WD,457891
151,Suburbs,2,8,1985,Gd,877.9285028397172,1692.4877535041076,2,4,2,564.0,5530.62877997473,WD,251626
152,Suburbs,4,3,1941,TA,379.5807047942733,2286.8442549439137,4,3,2,435.0,8288.461851062764,WD,337507
153,Suburbs,8,9,1993,TA,1453.3048754311656,2312.983000026582,4,3,2,399.0,6791.608549980554,WD,318881
154,Downtown,1,7,2019,Gd,468.13611900243416,1950.4911670139177,4,3,2,582.0,13253.814879648922,New,331736
155,Downtown,8,4,1989,TA,596.0306087657647,1459.5955627414423,4,3,2,494.0,8959.165070354496,WD,256090
156,Downtown,7,1,1951,Gd,865.6834080919024,963.1894745878487,2,2,1,368.0,9500.588563588304,COD,125064
157,Suburbs,7,7,1978,Gd,1065.0491579550153,826.8166083514486,4,2,2,599.0,5404.3158231447105,WD,186077
158,Downtown,6,6,1996,Gd,1152.3636097112953,1191.4161293367101,5,1,1,383.0,8411.159134435044,WD,285583
159,Rural,5,7,1951,TA,,2086.7315389146315,3,2,0,0.0,7804.44565036167,WD,202042
160,Downtown,6,7,2019,TA,0.0,2374.6528359036492,4,2,1,279.0,10058.871206483274,WD,409443
161,Historic,1,6,1921,Fa,623.4227227788424,1588.7208765739638,3,2,1,,9994.806391445212,WD,194520
162,Suburbs,1,1,1932,Gd,1423.3294531918623,1849.4218368961563,4,2,2,786.0,6312.457811460823,WD,256994
163,Downtown,3,8,1990,TA,642.1842128325084,1770.7054993695356,4,1,1,304.0,8387.061025601715,COD,275534
164,Suburbs,5,2,1978,TA,979.588324389735,1255.9527909679932,3,3,2,498.0,10921.578340987304,WD,188410
165,Rural,9,5,1951,TA,1538.841276334338,2250.4911340646286,3,1,1,262.0,6140.3673042987375,WD,249144
166,Downtown,5,8,2020,TA,931.5440438241793,2406.984531541638,3,1,0,0.0,13716.10151453113,WD,359764
167,Downtown,3,7,2019,Gd,895.1650949635076,400.0,3,2,2,788.0,4481.3502275804885,WD,114311
168,Waterfront,5,2,1948,Ex,935.9622466460046,2659.1031219347906,3,2,3,852.0,7228.199774821362,WD,541637
169,Suburbs,2,6,1958,TA,,1325.424638598809,4,2,1,336.0,5305.169872391121,WD,176382
170,Waterfront,6,1,1972,TA,358.90078747972336,2520.64546241625,1,2,2,439.0,9528.744296483854,WD,515538
171,Historic,10,7,1961,Gd,1714.9839594074977,2069.2472972540468,3,3,1,316.0,8034.693189952249,WD,282659
172,Suburbs,7,2,1994,Gd,909.4720034380181,1950.2295278936888,2,2,2,683.0,3965.037061210568,WD,287576
173,Suburbs,1,6,1995,TA,863.5251894573738,1539.36962833804,4,2,2,546.0,14249.251337748401,WD,213780
174,Suburbs,7,7,1971,TA,675.4527696450187,892.634413815238,3,3,3,960.0,6250.346570988914,New,142424
175,Historic,8,9,2019,Gd,546.0028770902089,816.3864221905089,3,3,1,230.0,2077.3517322810967,WD,147181
176,Historic,2,3,1946,TA,64.53587039822787,407.68353278250925,4,2,1,281.0,8710.834818633812,New,83873
177,Suburbs,3,2,2010,TA,1487.0574862289734,1889.4622043744844,3,2,2,723.0,8379.510066514631,WD,316070
178,Historic,3,4,1949,TA,113.65926804363596,1619.775149740457,4,1,2,448.0,6110.048058997898,WD,288685
179,Suburbs,1,4,1920,Gd,979.4221208953896,2469.2014464878657,4,2,0,0.0,5482.915426008078,WD,251739
180,Downtown,9,5,2009,Fa,823.1336070352197,2028.7538468681043,4,2,0,0.0,7933.334848809588,WD,286861
181,Suburbs,8,7,2018,Ex,1117.1055341169008,1835.0767376248507,2,1,2,498.0,4842.508126281259,WD,227811
182,Suburbs,3,3,1979,TA,201.66216193612354,1294.7758857294648,3,2,1,287.0,10563.946240852223,WD,182676
183,Suburbs,5,5,1927,Fa,669.6637200625355,2229.5831024916824,4,3,2,752.0,10316.75335043899,WD,293134
184,Waterfront,4,5,2011,TA,1189.8883061403965,1080.1809187138751,3,1,2,436.0,8214.528797236018,WD,383541
185,Waterfront,9,7,1923,TA,1073.7673476938805,1717.84806011119,5,2,2,700.0,4528.567862782596,WD,400481
186,Downtown,5,9,2014,TA,734.5690030180383,2848.488919546937,5,2,2,583.0,4624.508978988061,WD,468392
187,Downtown,2,7,1980,Ex,1041.3017773021713,2132.4014717532855,3,3,2,381.0,9077.482504712301,WD,347061
188,Rural,2,3,1976,Gd,,910.9987700107932,4,1,3,658.0,9265.742823900935,WD,120245
189,Suburbs,1,3,1995,TA,1435.6236000011163,1558.9920266052916,3,1,2,,8070.385759650662,WD,222656
190,Downtown,5,3,2000,TA,1388.7459209487092,1110.6567185281415,4,2,1,229.0,9588.928241898386,New,166611
191,Downtown,5,1,1956,Fa,1219.8970554968803,2198.9529379159485,4,3,3,775.0,9588.623507645694,New,344186
192,Suburbs,3,6,1937,Gd,1072.5608756667814,1903.9143795885857,2,4,3,998.0,8063.991487436506,WD,274818
193,Historic,5,4,2017,Gd,726.5321931445394,2621.1801487808184,3,2,0,0.0,8240.239208182948,WD,376373
194,Downtown,8,4,2005,TA,1022.2475147895437,2803.904704678884,3,1,2,554.0,3119.7391804201425,WD,420343
195,Suburbs,3,3,1967,Gd,1786.732200650452,1250.9904287345114,5,3,1,292.0,8097.559028877551,WD,194698
196,Downtown,4,4,1931,Gd,1367.817736592823,2173.3222685388787,2,1,1,310.0,7529.442320968925,WD,317572
197,Historic,3,3,1960,TA,,1180.2208429689476,5,2,2,435.0,5568.865144184221,WD,239634
198,Suburbs,6,2,1954,TA,161.7750897749387,2367.670504010129,3,2,1,311.0,9766.320130283439,WD,348879
199,Historic,7,8,1996,TA,1302.9943244020337,2136.411969141186,4,1,1,358.0,7810.002097902704,WD,272340
200,Suburbs,7,9,2009,Gd,1374.507835470087,2008.2452725211617,3,2,1,377.0,8876.001405265983,WD,267231
201,Suburbs,2,8,1953,TA,782.8345561467936,1599.8662992359257,4,2,2,,2058.17487475546,WD,228357
202,Rural,7,4,1996,Gd,732.8322405053656,1805.8341285259628,6,3,1,368.0,7468.77425195903,New,203654
203,Historic,1,2,1967,Gd,220.44844782742882,624.0717642437687,4,2,1,373.0,9928.147030219638,WD,179434
204,Downtown,10,6,1986,TA,1502.3358425836539,2555.174937886648,2,3,2,696.0,6858.529057747017,WD,342703
205,Suburbs,10,5,1978,Gd,834.0122567188282,400.0,3,1,2,720.0,7474.862156084165,WD,82031
206,Historic,2,6,2019,Gd,1104.283037572392,2740.470188505031,3,2,0,0.0,8708.798955414994,WD,403043
207,Suburbs,2,4,1980,Gd,560.513768265692,911.3774782815323,3,2,2,787.0,7975.143738291921,WD,144856
208,Historic,8,2,1957,TA,420.88614690175575,2578.929535248337,2,1,2,676.0,11940.741712454163,WD,365615
209,Rural,3,4,1978,Gd,1598.22680467924,1513.9652733241069,1,3,1,237.0,9608.98353941189,WD,145284
210,Suburbs,5,1,1975,TA,844.2434930681441,1723.823531945711,3,3,2,373.0,9394.741067924615,WD,250773
211,Suburbs,4,9,2018,TA,699.8334699476403,1567.0373836243518,3,2,1,219.0,8970.14038712433,WD,228926
212,Suburbs,5,6,1924,Gd,2160.9592473953453,1094.5367899681414,2,2,2,688.0,11745.708836688042,WD,119997
213,Rural,7,7,2020,TA,1394.0795386086834,1207.350800192271,3,2,3,1109.0,9303.921125459337,WD,150549
214,Rural,9,8,1942,Ex,711.4087117900083,3256.276172524128,4,2,2,398.0,4736.168498145613,WD,323473
215,Downtown,2,7,2017,Gd,1294.839493557618,975.7929486231496,3,1,2,648.0,11111.061806383172,WD,170899
216,Rural,8,5,1990,Gd,357.9495941321385,2168.932975543515,3,2,2,522.0,5686.309087175686,New,217958
217,Historic,10,1,2011,Fa,872.3467404092758,1311.880245785515,2,2,3,928.0,9719.273465212424,WD,174091
218,Suburbs,6,1,1950,Ex,664.8385877809854,2433.687093470213,6,2,1,367.0,4527.9755709980045,WD,332854
219,Suburbs,8,2,1929,TA,1167.3980724487412,1821.9503082928434,3,1,2,548.0,3015.1705329330316,WD,221101
220,Rural,8,1,2020,Gd,1662.686719526633,2289.700558366762,3,1,2,442.0,7179.9772950467095,WD,253402
221,Downtown,9,7,1966,Ex,322.39350353846464,2110.559038683624,2,4,2,410.0,12993.935865121448,WD,313877
222,Historic,6,6,2018,TA,1742.8470357981498,1256.5309377491642,4,3,2,799.0,5003.842550399663,WD,268052
223,Suburbs,7,4,1944,TA,1299.8531209087914,1502.3582605077368,3,2,1,349.0,4730.401433820438,New,195408
224,Rural,2,4,1969,Gd,600.3122842983122,1672.8409550265587,2,1,3,576.0,5865.198070708453,WD,190044
225,Suburbs,1,8,1925,TA,607.929762509629,1478.0579389959698,4,2,3,653.0,2193.314055816745,WD,207921
226,Suburbs,4,9,1957,Gd,714.1495406646796,1119.465712933551,3,3,1,331.0,11974.477334489913,WD,163338
227,Suburbs,1,2,1956,Ex,653.4469097201618,2670.021763588073,2,2,2,546.0,13621.625220765334,WD,354947
228,Historic,9,8,2014,Gd,665.9828425436826,2137.034188666345,4,4,1,317.0,7481.418975876253,WD,296901
229,Rural,4,5,2007,TA,274.33439847009345,1539.1281872972418,3,2,2,609.0,5716.833632539856,WD,147094
230,Historic,1,1,1973,Gd,921.9100536071904,1065.5364828185134,2,2,3,644.0,6563.802843783706,WD,134916
231,Historic,1,2,2012,TA,1298.6566815018175,1670.7709044124754,3,4,2,553.0,4958.658661774747,WD,293144
232,Waterfront,4,7,1954,Gd,770.33063452654,772.6579486431897,1,1,1,297.0,8297.284919585994,WD,116739
233,Downtown,3,3,1956,Gd,1118.943233525536,2107.0251404101755,6,1,2,553.0,10658.142822520436,WD,377859
234,Suburbs,1,7,2018,TA,1450.112719464482,1485.1488952342593,4,2,1,286.0,13123.95560562102,WD,222638
235,Waterfront,3,4,1921,TA,401.93852074263077,1435.175649187996,1,2,2,,5667.828963532814,WD,253108
236,Downtown,8,6,1998,TA,732.9519449422295,2631.5385537036145,3,2,2,793.0,5313.595814976902,WD,396680
237,Suburbs,2,2,1963,Ex,,1414.246477327026,3,2,1,258.0,9798.495689848638,WD,196365
